Key	Value
[打开]\n防御及保护，开启后会自动反击发起攻击的敌人	[On]\nDefense and protect. If it is on one will defend enemies automatically.
入库	Store
请选择一具死去的身体	Select a dead body.
<font color=#D06508>[药物]</font>\n	<font color=#D06508>[Medicine]</font>\n
可生效{0}次	{0}\nTimes
参悟经验：{0}\n	Inspiration XP: {0}\n
编队	Queue
灵气:{0:N0}/{1:N0}	Qi: {0:N0}/{1:N0}
修行时杂念频起，正感觉有点生气	Distracted by random thoughts while meditating; feels angry about it
屋顶	Roof
由修行者夺舍而来，只要积累足够精元就可以开启灵智\n精元容量：{0:F0}/{1:F0} ({2:F0}%)	Possessed by a cultivator, can be awakened intelligence as long as there is enough Stamina accumulated.\nStamina capacity: {0:F0}/{1:F0} ({2:F0}%)
六壬神算	Astrological Foresight
在拆地板之时，正觉得很爽快	Removing floor; feels great
消耗49点香火值，祖师分身下凡讲道，持续一天。(内门弟子会在选择周围的蒲团或者空地听讲)	Costs 49 Incense. The master will come down to earth to give a lecture for one day. Inner disciples will attend the lecture standing or sitting on nearby cushions.
无	None
激活中	Activating
蓝图	Blueprint
角色当前灵力不足以驱动此术！	The character does not have enough Qi to perform this!
药物	Medicine
自制建筑蓝图	Create your own blueprint
{0}丢失了	{0} is lost.
它的	Its
任务	Task
区域数据	Area Data
【新线索·{0}】	[New Clue {0}]
术法	Spell
请选择秘籍	Please select manuals.
蕴养这株灵植，调整灵植的养成趋势，并借此收获一些珍稀材料。	Nurture this spiritual plant and regulate its growth to gain rare materials.
生长度:{0:P0} 成熟度:{1:P0}	Growth: {0:P0}, Maturity:{1:P0}
设置的所需游戏版本比当前游戏版本更高，请确认	The required game version you have set is higher than the current game version. Please verify
玄门秘籍	Orthodox Manual
当前阵图无内容，无法配置布局	The plan has no content. Unable to place layout.
藏经阁容量：{0}/{1}	Capacity: {0}/{1}
[color=#FF0000]已达到最大等级[/color]	[color=#FF0000]Has reached the maximum level[/color]
祭拜	Worship
救灾	Firefighter
满目凋敝	Devastated
不是内门弟子	Is not an inner disciple.
<font color=#D06508>[灵器]</font>[color=#66FFFF]({0})[/color]\n	<font color=#D06508>[Spiritual Artifact]</font>[color=#66FFFF]({0})[/color]\n
解锁神国建筑:[{0}]\n	Unlocked Divine Realm Building: [{0}]\n
天气	Weather
影响角色灵气最大值。	Mempengaruhi Qi Maksimum karakter.
壮减	Muscular Minus
{0}{1}的线索	{0}{1}'s clues
单击选择目标	Short Short press to select a target
正道中流	Honored
建筑名非法	Illegal building name
游戏中有大量可以提高角色基础属性与技能的方法，而角色初始属性过高，可能对您的游戏体验造成较大地破坏，请谨慎考虑！	The game offers numerous ways to enhance a character's basic attributes and skills. However, excessively high initial attributes can severely disrupt your gaming experience. Please consider this carefully!
多次画符	Multiple Talisman Drawing
阵法真意图鉴需要玩家结成包含对应真意的阵法来点亮。	To unlock the contents of Truth of Formation Encyclopedia, you need to form the complete formations of the corresponding Truths.
从{0}前往{1}	From {0} to {1}
模组商店及万界天宫的内容(UGC)是由玩家所制作，这些内容可能会影响你的游戏体验，包括但不仅限于：内容不适、数值崩溃、历程失控等。我们未对这些分享内容进行任何功能和数值上的审核或者协助，您必须自行分辨并承担下载该内容的风险。	Mod Store and the contents of Workshop (User Generated Contents) are created by players. These contents may affect your game experience, including but not limited to: inappropriate content, unbalanced stats, broken game progress, etc. We do not take part in the creation of these shared contents. You must download and play at your own risk.
护体	Protect
土壤肥沃	Rich Soil
身手	Action
正心不在焉的种植中	Farming absent-mindedly
真炁：{0:F0}/{1:F0}\n体修专属的战斗资源，会快速的恢复和消耗。真炁会随着境界的提升，身躯的淬炼而提升。	True Qi: {0:F0}/{1:F0}\nCombat resource exclusive to physical cultivators. It both replenish and deplete very fast. True Qi increases along with one's State and body Remolding.
弟子女	Disciple (F)
让其观察一个物品、建筑或植物，来获得对应的思绪。限于其低下的灵智，同一种思绪只能通过观察并记住一条。	Order it to observe an item, building or plant to obtain the corresponding Thoughts. Due to its limited intelligence, only one Thought of each kind can be obtained through observation and memorized.
请选择认知	Select Realization
该物品不能作为赋灵对象	This item cannot be endowed with spirit.
 [失去]	 [Lost]
确定派遣弟子要进入{0}吗？\n\t参与弟子有：\n{1}	Do you want to send disciples to enter {0}?\n\t Participants include: \n{1}
代理人正在赶来...	Agent on the way…
身上已经携带了法宝胚胎{0},无法穿戴多个	Has already incubated {0} and cannot wear the same item.
高	High
【解锁隐秘·{0}】	[Unlock Mystery {0}]
<font color=#D06508>[原材料]</font>\n{0}\n	<font color=#D06508>[Raw Material]</font>\n{0}\n
自身生长速度较慢，对周边环境产生较大的正面增益。	Slow growth rate; medium positive effect on the surrounding environment.
将一名修行者突破到结丹境界（选择角色，通过屏幕下方的人物面板，切换至练功模式，可以专攻修炼，以提高境界。）	Help a cultivator reach the state of Core Shaping. Select a character and switch it to [Train] via the character menu. While training is active, the character will focus on cultivating themselves to raise their state.
参悟经验：{0:F0}/{1:F0}	Inspiration XP: {0:F0}/{1:F0}
正在下载 ：	Downloading:
景色绝美	Impressive
检测服务器MOD...	Test server mod…
{0}[color=#9e6404][挑战][/color]	{0}[color=#9e6404][Challenge][/color]
奖励发放失败,请稍后重试	Reward distribution failed, try again later
{9}：{10:N2}%\n灵煞趋势：{8}{0:N2}/天\n　蕴养加成：{1}\n　天气加成：{2}\n　季节加成：{3}\n　五行加成：{4}\n　交感加成：{5}\n\n当前状态：{6}\n　{7}\n	{9}: {10:N2}%\nBless Tendency: {8} {0:N2}/d\nNurture: {1}\nWeather: {2}\nSeason: {3}\nFive Element: {4}\nSympathy: {5}\n\nStatus: {6}\n　{7}\n
被{0}屠宰	was butchered by {0}.
寅时,黎明时分,平旦之时,五更时分,月沉西落,东方渐白	It is about 3:00–5:00, light begins to shine, expelling the darkness
木	Wood
尝试突破瓶颈一次，不论成功与否。	Attempt a breakthrough and see whether you succeed.
影响生产事件中灵石和矿物的产量。	Affects the yield of spirit stones and minerals in production events.
庄重的开启丹炉，准备炼丹	Solemnly heats up the alchemy furnace
全局闪避：{0:P2}	Global Dodge: {0:P2}
请选择一个合适的突破地点	Select a suitable place to breakthrough.
打水	Draw Water
好的	Okay
{0} ({1}格)	{0} ({1} Space)
进入场景	Entering area
未知	Unknown
只能传授给低代弟子	Can only be imparted to a junior disciple.
历练中......	Adventure......
重载MapStory	Reload MapStory
不能作为此技能的对象	Cannot be targeted by this skill.
[color=#009900][打开][/color]	[color=#009900][On][/color]
失落的灵智	Lost Intelligence
突破{0}技能等级上限{1}	Breakthrough {1} level of {0} skill
下载 	Downloading 
秘籍	Manual
采掘获取有用的材料。	Dig for useful materials.
对灵气的感知能力，影响灵气护盾穿透率，法宝镇压几率。	The ability to perceive Qi. Affects Qi Barrier Penetration Chance and Artifact Suppression Chance.
蓝图标签	Blueprint label
消息属性{0}存在问题	Message attribute {0} contains an error.
重试	Retry
已拥有	Owned
分裂镇物	Split Relic
较为利于	Moderately Beneficial
交互	Interact
别名	Alias
千	Thousand
境界不够({0}/{1})\n	Too low State ({0}/{1})\n
失败惩罚：	Punish:
性别：{1}\n年龄：{0:N0}\n	Gender: {1}\nAge: {0:N0}\n
交流	Talk
否	No
你对凡人的情感逐渐收敛，已经很少会有极端的狂喜或悲恸。得益于此，你对神力的掌握渐渐加深，但来自众生的那些平凡微小的信仰你已无法尽数感知。	You have less human emotions and can hardly feel extreme joy or sorrow. You have become more attuned to divine powers, but can no longer perceive all the mortal and small beliefs.
傲慢	Arrogant
在拆地板之时，正在胡思乱想	Removing floor; distracted by thoughts
结丹时的天气对丹品的影响。	The weather affects the quality of cores during Core Shaping.
无门无派	Unaffiliated
无法录入	Unable to transcribe
元神之法	Primordial Spirit Law
尊掌门法旨！可是弟子尚为外门弟子，修为不足以忍受寒晶矿附近的酷寒。	At the master's command! But I am still just an outer disciple. I won't be able to endure the cold near the Ice Crystal Mine.
将置物台上的物品丢下。	Remove the item from the Display.
剩余时间:	Time remain:
已存在同名文档，确定覆盖原存档吗？这将不可逆转。	Found a file with the same name. Do you want to override the original save? It is irreversible.
御器	Artifact Mastery
错误的控制器值:{0}	Incorrect Controller Value: {0}
总大小:	Size:
捕获小动物。	Catch small animals.
身手({0:P0})\n上肢受伤会影响该值，身手影响大部分工作的效率。	Action ({0:P0})\nThis value is affected when a character's arms take damage. Action affects the work efficiency of most types of work.
请输入蓝图名称	Enter a name for the blueprint.
查阅	Examine
刚完成收获，准备洗洗手收工	Just finished harvesting; going to wash hands and stop working
当前煞性	Curse
五行蕴养:\n	Five Elements Nurture: \n
在照顾别人的间余，刚小憩片刻	Cares for someone; taking a break
角色在修炼上的潜在能力。潜力与角色的年龄与个人经历有关，一旦进入内门就会锁定，无法被改变。	Potential (POT): Potensi pelatihan karakter. Potensi berkaitan dengan usia dan latar belakang karakter. Setelah karakter menjadi murid batin, potensi ini akan terkunci dan tidak dapat diubah lagi.
铸体	Remold
给路人提供帮助的次数	Number of times you've helped strangers.
资源解压失败	Assets unzip failed
风水相宜	Feng Shui
复活中	Reviving
我们强烈建议您在进行真仙模式前尽可能的熟悉游戏，真仙模式下您将会面临极大的挑战。\n确定要打开真仙模式吗？	We strongly recommend you familiarize yourself with the game as best as you can before starting Immortal as it contains extreme challenges.\nAre you sure you want to start Immortal?
未命名配置	Untitled Configuration
炼宝	Craft
送礼	Gift
未选择需要上传的内容	You have not selected any content to upload.
{0}点 {1}	{0} points {1}
竹林深处	Deep in the Bamboo Forest
在制药作业时，正感觉有点无聊	Making medicine; feels a bit bored
随机生成一个法宝	Generate a random artifact.
灵气	Qi
数量：{0}	Quantity: {0}
(等待更换材料)	(Replacing materials)
卓越	Expert
0/1次	0/1 Times
(休眠)	(Dormant)
体修秘体	Secret Body
无称号	Titleless
活物组成	Life Composition
{0}{1:F0}  {2}等级	{0}{1:F0} Lv {2}
{0}心防瓦解	{0} has opened up.
精英	Elite
归属：[color=#D06508]{0}[/color]\n	Owned by: [color=#D06508]{0}[/color]\n
\n[color=#9e6404]不能共存：[/color]	\n[color=#9e6404]Cannot coexist:[/color]
请先为分堂选择专精。	First choose an expertise for your branch.
更新	Update
行商无法被转换阵营	Merchants cannot be turned to your side.
已激活	Activated
将一个物品灵淬	Perform Aura Refinement for an item.
输入数值	Enter Value
入驻	Assign
丹药	Elixir
神修在心境为“动”时，心境会自然提高，情绪越好，提高速度越快。	When the mental state is 'move', it will be naturally raised, as a better mood means a faster rise.
丢失	Lost
女性	Female
晃眼	Bright
  \n当前进度:	  \nProgress:
{0}\n当前有{1}个门派的任务未完成	{0}\n{1} sect tasks are unfinished.
{0}品	{0}Quality
攻击威力: {0:F0}	Attack Power: {0:F0}
在修理建筑之时，正在胡思乱想	Repairing buildings; distracted by thoughts
上次保存时间:{0}{1}	Last Save Time: {0}{1}
装备物品	Equip Item
请教	Consult
查阅秘籍。	View manuals.
<font color=#D06508>[激活进度]</font>\n	<font color=#D06508>[Activation Progress]</font>\n
思绪：{0}/{1}	Thought: {0}/{1}
\n[color=#FF8B00]消耗平衡点:{0:N0}\n(内门弟子吞服天地灵气补充食物的速度与自身消耗食物的速度在此处达到平衡)[/color]	\n[color=#FF8B00]Equilibrium: {0:N0}\n(An inner disciple has trained their Qi to the extent that they absorb energy from the surrounding environment and no longer needs to eat food.)[/color]
灵宠觉醒	Pet Awakened
可招揽:{0}/{1}	Available for recruitment: {0}/{1}
\n已达到道行上限	\nAttainment cap reached.
准备好仪轨符具，准备练习秘法	Preparing ritualistic talismans and tools for practicing a secret Law
门派	Sects
存档标识	Save File Identifier
[NAME]通过从{2}获取的理智，对{3}的感知，对{4}的认知，产生了一点灵智碎片。	Through the rationality obtained from {2}, the perception of {3} and the realization of {4}, [NAME] has generated an Intelligence Shard.
拼装耗时 : 	Assembly time: 
年龄不足16岁,无法选择历世!	Age less than 16 and cannot choose experience!
正兴高采烈的赶路	Walking cheerfully
冷淡	Indifferent
数据格式有问题,解析失败，请检查配置数据!	Data format issue, parsing failed, please check configuration data!
{0}:{1} 需求:{2}\n	{0}:{1} Requires: {2}\n
无门派	No Sect
内丹	Internal Core
(总值)	(Total)
潜力	Potential
所修功法：{0}({2})\n{1}\n性别：{5}\n年龄：{3:N0}\n道行：{4:N0}	Learned Laws: {0} ({2})\n{1}\nGender: {5}\nAge: {3:N0}\nAttainment: {4:N0}
巧匠	Crafting
挖土	Dig
{0}的尸体	{0}'s Corpse
埋葬	Bury
他的	his
对弥留的角色进行灵魂拷问，尝试获得对方的秘密。\n拷问会加速角色死亡。	Interrogate the dying character, trying to know their secrets. \nInterrogation will make the character die faster.
购买妙法宝匣，可补充使用次数，是否前往购买？	Purchase the Miracle Casket to refill times. Are you sure to purchase?
支付服务不可用,请稍后再试	Payment service unavailable, please try again later
自定义	Custom
爱好	Hobby
门派声望：{0:F0}\n声望来自于门派各个方面的行为。\n声望会影响来袭敌人的强度。\n声望会影响门派规模:\n山寨: 0\n门派: 500\n洞天: 2000	Sect Reputation: {0:F0}\nYou gain reputation by various actions pertaining to a sect.\nReputation affects the difficulty of attacking enemies.\nReputation affects a sect's size:\nFortress: 0\nSect: 500\nParadise: 2k
[模组]	[Mods]
该效果不能对灵兽起作用!	This effect does not work on spirit beasts!
前往{0}	Go to {0}
击退抵抗 : {0:P0}	Knockback Res: {0:P0}
(发呆)	(Trance)
只有对炼丹之道有足够的造诣（20级以上），才能将这部分感悟寄托于装备。	Only when the character gains enough understanding of Alchemy (Lv.20 and higher), they can attach that epiphany to their equipment.
等待激活	Available
_结局	_The End
孵化进度：{0:N0}%\n	Hatching: {0:N0}%\n
是	is
机缘	LUK
新灵智	New Intelligence
在修理建筑时，正忍不住神游天外	Repairing buildings; can't help but daydream
心境崩溃	Breakdown
框选铺设范围	Please select an area for laying.
弟子男	Disciple (M)
红尘记	Mortals
男人	Male
\n来自：{0}	\nSource: {0}
境界加成：{0}\n	State Bonus: {0}\n
[{0}]证据不足\n	[{0}]Insufficient Evidence\n
随着时间推移，化妖天灾的影响越来越深了……	As time goes by, the influence of the Beast converting disaster deepens...
被迫服役	Forced to serve.
本局游戏永久生效	Permanent effect in this game round
所选对话文件数据异常无法读取	Error. Cannot load the selected dialogue file.
\n点击建造	\nClick to build
阵法负荷	Formation Load
历练值	Skill
环境脏乱	Filthy
水属性伤害减免: {0:P3}	Water Damage Reduction: {0:P3}
该物品不能食用	This item is not edible.
有所收获	You gained something
此次思考将消耗所选思绪片段，产生{0}：{1}{2}，并清除所有未记忆的片段。是否确定？	This Thinking will consume the selected Thought Shards, generate {0}: {1} {2}, and clear any unremembered shards. Confirm?
分类:{0}\n	Category: {0}\n
创建XML文件成功!	XML document created!
垃圾	Rubbish
正在乐呵呵的挖矿中	Happily mining
历练	Adventure
{0} 缺少产出方式无法保存	{0} does not have output methods, unable to save.
下一级参悟值：{0:F0}/{1:F0}\n提高道行: {3}\n{2}	Inspiration on next level: {0:F0}/{1:F0}\nAttainment: +{3}\n{2}
{0}[color=#ff0000](错误)[/color]	{0}[color=#ff0000](Error)[/color]
在战斗中击败修行敌人的数量	Number of cultivators defeated in battle.
重新建造这个建筑。	Rebuild this structure.
被突然的悲伤打断了修行	Interrupted by sudden sadness while meditating
游戏中才能执行Lua	Lua is only executable during gameplay
妖族崛起	Yaoguai Uprising
单手武器	1H Weapon
膳夫	Chef
自制物品	Custom Item
护法赐予	Grant Guard
未知之物	Unknown Item
赠送	Send Gift
经验加成	XP
删除	Delete
灵魂拷问	Soul Interrogation
 秘籍:{0} 	 Manual: {0} 
修改数值	Modify Attributes
御物	Artifact Mastery
采掘	Dig
火劫	Fire Tribulation
这将会打断当前工作，确认立即进行突破吗？	Doing so will stop the current work. Do you want to breakthrough?
招揽弟子	Recruit Disciple
新的异闻解锁	A new secret is unlocked.
选择预览图	Choose Preview Image
驻扎中	Camping
变身成妖形态	Shapeshift into monster form
(被烧毁)	(Burning)
自身生长速度很慢，对周边环境产生极大的正面增益。	Very slow growth rate; major positive effect on the surrounding environment.
道行:{0}\n{1}	Attainment: {0}\n{1}
手工制作	Make by Hand
门派人数已达上限，不可送回代理人！	Reached the maximum sect population. Unable to recall the agent!
进攻	Attack
天下行商	World Merchant
重生	Rebirth
影响值	Influence
道淬次数：{0}次\n	Tao Refine Times: {0}\n
此物品非常贵重。	This item is very rare and expensive.
{0}对门派好感{1}{2:F0}点	{0}'s favor to your sect {1} {2:F0} points.
法宝转弯速度:	Artifact Turn Speed:
[color=#FFFFFF]该建筑升级需要达到{0}信仰人口[/color]	[color=#FFFFFF]To upgrade this building, the population of believers needs to reach {0}.[/color]
角色思考的能力，影响角色的学习速度等属性。	Intelligence (INT): Kemampuan berpikir suatu karakter. Memengaruhi kecepatan belajar.
请选择一个理智思绪	Select a Rationality Thought.
掌门	Sect Leader
上个存档正在写入，目前还不能再次存档。	Unable to save at the moment, the previous save file is still being written.
增加神性	Increase Divinity
正在苏醒...	Awakening...
登陆失败，是否重新登陆	Log in fail. Try again?
驱逐	Banish
摔倒	Fell
训练	Training
封闭	Sealed
中	Medium
众生之相	People & Beings
木劫	Wood Tribulation
信仰天劫	Belief Tribulation
正在离开{0}	Leaving {0}
请选择合适的摆放地点	Select a suitable spot to put it.
掌门名称	Leader
特别利于	Very Beneficial
{0}{1}的转世	{0} {1}'s reincarnation
====触发太易天道触发检测	====Trigger Taiyi Heavenly Dao detection
敌人	Enemies
移动速度：{0:F2}\n	Move Speed: {0:F2}\n
单击选择目标，长按框选范围!	单击选择目标，长按框选范围!
古修	Ancient Cultivator
铭记	Remembrance
{0}\n[color=#FF0000]需要在[b]{1}[/b]使用[/color]	{0}\n[color=#FF0000]Need to be used at [b]{1}[/b][/color]
请输入阵法名字	Enter a name for the formation.
未探索	Unexplored
进入建筑	Enter Building
[color=#9e6404]相关工作：[/color]\n灭火	[color=#9e6404]Related work:[/color]\nExtinguishing fires
将角色移动到指定位置。	Move character to designated location.
年龄不足	Not old enough
影响角色驾驭法宝的能力。	Affects a character's ability to use artifacts.
暂时还无法领取该周奖励	This week's reward is not yet available
关闭主界面显示后，在主界面无法看到太一宝典进度，请确认是否关闭？\n(在游戏设置中可以再次打开显示)	After turning off the main menu display, the True Tao Volume progress will not be shown on the main menu. Are you sure to turn it off? (Can be turned on in the settings)
积累2000点参悟点。（选择角色，通过屏幕下方的人物面板，切换至练功模式，角色会专心练功，加速参悟点的积累。）	Gain 2k Inspiration XP. Select a character and switch it to [Training] via the character menu. While training is active, the character will focus on training, thereby increasing their Inspiration XP gain.
厌恶之物	Dislikes
接受铸体	Be Remolded
认知	Realization
最后的准备	Final preparations
yyyy年MM月dd日HH:mm:ss	yyyy-MM-dd HH:mm:ss
未知情况：{0}	Unknown situation: {0}
尸体({0:N0}秒)	Corpse ({0:N0} sec)
建造材料加工点，并在材料加工点完成50份木料的制作	Build a Material Processing Station and create 50 Timber there.
练功筑基许久，正累的气喘吁吁	Has trained foundation a long while; panting for breath
结束今天的筑基功课，刚准备擦擦汗	Has finished today's foundation training; sweating profusely
读取存档	Load
存档过大	Save File Too Large
理智列表	List of Rationalities
应天争夺失败	Lose the Heaven Echo fight
取消放置建造蓝图中指定的物品。	Cancel placing the selected item of the blueprint.
[放纵]放纵自己之欲望，使自己神性获得速度降低。同时获得临时的人性加值(最多为真实神性的一半)。\n放纵状态下心境不会增加且加速减少。	[Indulgence] Indulges in your own desires and slow down the increase of divinity. At the same time, obtains temporary additional humanity (no greater than half of the base divinity). \nWhile indulging, your mental state will reduce at a faster pace, instead of increasing.
筑基时走岔了气，正准备休息一下	Lost control of Qi during foundation training; going to get some rest
刚拆完成一个建筑，正觉得有点可惜	Just finished demolishing a building; feels sorry
元神期	Primordial Spirit
数十天前	Weeks Ago
CloudSave->解压完成	CloudSave->Decompression Complete
[align=center](姿态)[	[align=center](Stance)[
再以境界突破为例：\n[color=#ff0000]木属性[/color]的功法在[color=#ff0000]金属性[/color]的环境中突破时，因[color=#ff0000]金克木[/color]的原因而倍加艰难。\n如果在[color=#ff0000]水属性[/color]的环境中突破，则会因[color=#ff0000]水生木[/color]之故，而提高突破成功率。	And when performing Breakthrough for a State:\nPracticing a Law of [color=#ff0000]Wood[/color] in an environment of [color=#ff0000]Metal[/color] will be difficult because [color=#ff0000]Metal cuts Wood[/color].\nIf one instead does it an environment of [color=#ff0000]Water[/color], the success rate of a Breakthrough will increase because [color=#ff0000]Water nourishes Wood[/color].
[color=#bf642f]已归属：{0}[/color]	[color=#bf642f]Belongs To: {0}[/color]
坐标点	Coordinates
用力拉杆	Reel In
